solver_address,total_batches
0x6c2999b6b1fad608ecea71b926d68ee6c62beef8,2018
0x0c60276beadc5ba35007661a89e0d5e7476523f8,12397
0x31a9ec3a6e29039c74723e387de42b79e6856fd8,6698
0x55a37a2e5e5973510ac9d9c723aec213fa161919,6147
0x8a4e90e9afc809a69d2a3bdbe5fff17a12979609,188
0x872a1b63a739190d0780721d57d8d92ef766db35,11
0x731a0a8ab2c6fcad841e82d06668af7f18e34970,7061
0x70f3c870b6e7e1d566e40c41e2e3d6e895fcee23,2386
0xac0128acc5c15945ab4e81f09f58cf05ec1844ed,133
0xda324c2f06d3544e7965767ce9ca536dcb67a660,1856
0x97dd6a023b06ba4722af8af775ec3c2361e66684,4264
0x69f9365405762405cc17f7979aa8e94fd95c1e80,257
0xe8ff24ec26bd46e0140d1824da44efad2a0920b5,2396
0x5f7a6aeec3d3e80558278632954da4b730996f83,20
0x460aac34690189911ccb49d36e55ab548cf8a9a1,3
0x3c3513c88bd7a919cb732f777cd80cd773beb011,17
0xd50ecb485dcf5d97266122dfed979587dd8923ac,84
0x4339889fd9dfca20a423fba011e9dff1c856caeb,1207
0xb9332b6301e5983272c30dd5b48a4e3b1664511b,189
0xad897cf33e5af59f33c1fd19490c5b94a8a2759b,59
0x5b0bfe439ab45a4f002c259b1654ed21c9a42d69,463
0x4f422556fad14720b2691359fad0c0f6b1b39113,234
0x583cd88b9d7926357fe6bddf0e8950557fcda0ca,960
0x56d4ed5e49539ebb1366c7d6b8f2530f1e4fe753,22
0x340c0c9e87c1e1ae5677506412e988748d8417ce,103
0x6fa201c3aff9f1e4897ed14c7326cf27548d9c35,6086
0xa97def4fbcba3b646dd169bc2eee40f0f3fe7771,763
0xc9ec550bea1c64d779124b23a26292cc223327b6,68529
0x0ddcb0769a3591230caa80f85469240b71442089,607
0xf7995b6b051166ea52218c37b8d03a2a6bbef3da,2153
0x641830bd5e9f283e8f26c60846195e2201dfd09f,64
0x1857afb4da9bd4cc1c6e5287ad41cb5be469f14e,69
0x080a8b1e2f3695e179453c5e617b72a381be44b9,304
0xe58c68679e7aab8ef83bf37e88b18eb1f6e30e22,3744
0x2d15894fac906386ff7f4bd07fceac43fcf80c73,10699
0x5b2f5e5c94a5de698e2dec7f30e90069eb3b12bb,15
0xdae69affe582d36f330ee1145995a53fab670962,1350
0x84d143682764dd1f42c4de763262107bd90c4f42,2177
0x15f4c337122ec23859ec73bec00ab38445e45304,10068
0x7ac1e2f8593c096da0a94b71b6f70ca81b6b86f0,648
0xc9f2e6ea1637e499406986ac50ddc92401ce1f58,219
0x109bf9e0287cc95cc623fbe7380dd841d4bdeb03,965
0x1e8d9a45175b2a4122f7827ce1ea3b08327b2ba0,2156
0x01246d541e732d7f15d164331711edff217e4665,8
0x8616dcdfcecbde13ccd89eac358dc5abda79ec31,15
0x398890be7c4fac5d766e1aeffde44b2ee99f38ef,3480
0x97ec0a17432d71a3234ef7173c6b48a2c0940896,9006
0x6d1247b8acf4dfd5ff8cfd6c47077ddc43d4500e,3407
0xd3eec78a89b04f95965927f408f07c13996b8378,20
0xdf4296e752fd08b2d7db4101b98a48b74e59fd56,1
0xa697c60706210a5ec6f9ccce364c507e604d9462,8
0x833f076d182123ca8dde2743045ea02957bd61ef,7298
0xdd2e786980cd58acc5f64807b354c981f4094936,45
0x0d2584da2f637805071f184bcfa1268ebae8a24a,455
0xa21740833858985e4d801533a808786d3647fb83,39539
0xa0044c620da7f2876da7004719b8370eb7be5e50,1154
0x158261d17d2983b2cbaecc1ae71a34617ae4cb16,1151
0x149d0f9282333681ee41d30589824b2798e9fb47,33924
0xd01ba5b3c4142f358effb4d6cb44a11e31600330,82
0x96a3b53197ea4941482b142f5036e6432086da8a,2535
0xd8b9c8e1a94baeaaf4d1ca2c45723eb88236130e,2048
0xbff9a1b539516f9e20c7b621163e676949959a66,6519
0xffc5e9d86c0e069f8b037c841acc72cf94eebad8,30
